0) 3d:-1.80478 -4.20141 -8.94485      2d: 924.336 1287.84
198) 3d:4.25263 -4.05612 -8.70048      2d: 240.473 1284.78
199) 3d:3.7594 -2.402 -8.763      2d: 298.811 1093.9
200) 3d:4.59635 -0.283929 -8.23246      2d: 177.98 856.508
201) 3d:3.28332 2.07232 -8.457      2d: 342.785 579.941
202) 3d:3.06594 0.565078 -8.81291      2d: 378.19 758.573
203) 3d:-1.60118 -3.91184 -10.2232      2d: 865.328 1201.93
204) 3d:4.26595 2.16395 -7.92932      2d: 202.621 552.456
205) 3d:1.45084 -4.03367 -9.75248      2d: 565.821 1232.4
206) 3d:3.29637 2.20928 -8.35516      2d: 337.981 560.42
207) 3d:3.47856 -0.161057 -8.71072      2d: 328.653 840.439
208) 3d:3.73308 1.40971 -8.10567      2d: 276.483 649.961
209) 3d:3.6017 -2.40086 -8.89285      2d: 320.931 1089.77
210) 3d:3.3671 -3.64613 -9.10534      2d: 353.376 1219.36
211) 3d:3.0804 -4.20125 -9.2778      2d: 388.947 1271.91
212) 3d:4.08445 -2.22021 -8.60455      2d: 255.614 1077.8
213) 3d:4.84503 -0.617243 -8.26581      2d: 149.945 896.177
214) 3d:4.08109 0.753853 -8.2472      2d: 240.494 731.857
215) 3d:3.61021 -0.85111 -8.62685      2d: 310.894 919.852
216) 3d:3.73081 -0.700535 -8.54305      2d: 293.966 903.329
217) 3d:3.27444 1.88395 -8.39424      2d: 341.875 600.101
218) 3d:3.85309 1.65498 -8.19156      2d: 265.44 622.408
219) 3d:3.57989 -3.39855 -9.03734      2d: 328.054 1195.32
220) 3d:3.84844 -2.45289 -8.70337      2d: 286.552 1101.66
221) 3d:4.36138 2.24363 -7.90762      2d: 189.585 541.693
222) 3d:3.44012 -3.65437 -9.08385      2d: 344.804 1221.41
223) 3d:3.68061 -1.36781 -8.67403      2d: 304.527 978.368
224) 3d:0.81047 -4.16268 -10.2941      2d: 630.217 1224.12
225) 3d:3.97228 -3.30015 -8.78308      2d: 275.573 1195.09
226) 3d:2.92662 1.57297 -8.77003      2d: 392.627 644.519
227) 3d:3.98499 1.93486 -8.05166      2d: 243.268 584.33
